Gene,ChineseAmber,Leoti,pi229841,pi297155,pi300119,pi329311,pi506069,pi510757,pi655972,Rio,tx430,btx623,Grassl
3381.casb002g033630.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033660.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g033720.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034010.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034040.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034280.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034340.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034350.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g034460.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g034870.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g034890.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g034920.635,0,0,0,0,0,0,0,1,0,0,1,0,0
3381.casb002g035160.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g035160.635_1,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb002g035180.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g035260.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g035360.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g035420.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g035510.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g035860.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g036520.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g036750.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g036950.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g037300.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g037410.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g037450.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb002g037460.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb002g037520.635,0,0,0,0,1,1,1,1,1,0,1,0,0
